AREA,CENTRAL_AMERICA_MEXICAN,CENTRAL_AMERICA_OTHER,SOUTH_AMERICA,OTHER,TOTAL
Chicago,578100,145034,32129,23599,778862
01,10268,1995,640,530,13433
02,10061,2863,1226,551,14701
03,4665,1929,899,516,8009
04,4212,2005,931,414,7562
05,2403,1218,447,262,4330
06,3675,1954,989,580,7198
07,1677,1086,517,291,3571
08,1635,995,835,509,3974
09,448,310,76,38,872
10,2249,1573,418,202,4442
11,2545,1765,466,151,4927
12,1038,656,321,111,2126
13,1633,941,482,168,3224
14,16119,4982,3322,1064,25487
15,13673,8241,2273,674,24861
16,14093,7097,2328,814,24332
17,5203,3731,771,292,9997
18,4417,2356,362,113,7248
19,41232,16455,2817,1597,62101
20,12635,7930,677,618,21860
21,16192,6509,1938,656,25295
22,20147,14356,1858,979,37340
23,16401,12546,524,575,30046
24,12312,9788,1053,703,23856
25,4679,3364,325,354,8722
26,118,177,15,38,348
27,363,375,11,101,850
28,3248,1020,449,331,5048
29,1512,454,42,136,2144
30,60979,2131,294,2053,65457
31,27236,1220,386,644,29486
32,1003,485,315,207,2010
33,613,285,203,101,1202
34,352,52,26,34,464
35,236,138,30,61,465
36,51,28,2,6,87
37,112,19,0,1,132
38,180,178,14,23,395
39,229,173,90,50,542
40,23,59,0,22,104
41,815,369,299,143,1626
42,219,181,57,86,543
43,400,340,34,80,854
44,147,123,10,31,311
45,65,74,2,12,153
46,5722,700,17,335,6774
47,7,13,0,0,20
48,395,138,9,27,569
49,206,175,13,64,458
50,456,85,3,27,571
51,4382,302,14,111,4809
52,16672,1085,84,235,18076
53,1307,120,4,78,1509
54,100,25,0,7,132
55,4155,393,29,94,4671
56,12050,1056,205,204,13515
57,9319,525,94,244,10182
58,36136,1541,277,739,38693
59,9187,592,102,230,10111
60,7398,841,125,263,8627
61,22995,1552,75,809,25431
62,13268,740,132,174,14314
63,33419,1476,270,424,35589
64,8574,1098,207,605,10484
65,24616,1421,283,349,26669
66,22863,1616,173,489,25141
67,515,214,8,37,774
68,141,137,6,41,325
69,184,176,10,18,388
70,13501,1212,137,282,15132
71,227,177,11,44,459
72,599,184,61,71,915
73,131,96,8,23,258
74,1099,201,32,50,1382
75,424,150,19,26,619
76,529,470,157,56,1212
77,6010,1997,790,521,9318
